id,sentence,ambiguity_label,actor_text,actor_start,actor_end
912,"Because the surgeon was prepared, the surgeon called yesterday.",ambiguous,surgeon,12,19
913,"The veterinarian finished the report, and she seemed tired.",unambiguous,veterinarian,4,16
914,The lawyer opened the door.,ambiguous,lawyer,4,10
915,The friendly director called yesterday.,ambiguous,director,13,21
916,"The photographer, who said he was calm, worked late.",unambiguous,photographer,4,16
917,The new landlord returned later.,unambiguous,landlord,8,16
918,"Before the meeting, the editor checked his wallet.",unambiguous,editor,24,30
919,The quiet translator said he would return later.,unambiguous,translator,10,20
920,The librarian said she will join the meeting.,unambiguous,librarian,4,13
921,"After reading the email, the businessman sat down.",unambiguous,businessman,29,40
922,The director returned later.,ambiguous,director,4,12
923,"After joining the call, the chef stood near the window.",ambiguous,chef,28,32
924,The principal will speak tomorrow.,ambiguous,principal,4,13
925,The careful actress prepared carefully.,unambiguous,actress,12,19
926,"After reading the email, the nurse sent an email.",ambiguous,nurse,29,34
927,"Because the doctor was tired, the doctor paused for a moment.",ambiguous,doctor,12,18
928,The confident firewoman sent an email.,unambiguous,firewoman,14,23
929,The experienced librarian entered the room.,ambiguous,librarian,16,25
930,The assistant made a decision this morning.,ambiguous,assistant,4,13
931,The junior surgeon said he would return later.,unambiguous,surgeon,11,18
932,The landlady answered quickly.,unambiguous,landlady,4,12
933,The pharmacist left early.,ambiguous,pharmacist,4,14
934,A nurse finished the report.,ambiguous,nurse,2,7
935,The young artist said he would return later.,unambiguous,artist,10,16
936,"Because the dentist was worried, the dentist returned later.",ambiguous,dentist,12,19
937,"Because the instructor was prepared, the instructor opened the door.",ambiguous,instructor,12,22
938,The quiet musician said he would return later.,unambiguous,musician,10,18
939,The receptionist will join the meeting.,ambiguous,receptionist,4,16
940,"The accountant started the meeting, and she seemed late.",unambiguous,accountant,4,14
941,Their assistant said she was busy.,unambiguous,assistant,6,15
942,"Before the meeting, the professor worked late.",ambiguous,professor,24,33
943,Their chef started the meeting.,ambiguous,chef,6,10
944,The pilot said she will join the meeting.,unambiguous,pilot,4,9
945,"At noon, the hostess stood near the window.",unambiguous,hostess,13,20
946,"Because the pilot was worried, the pilot left early.",ambiguous,pilot,12,17
947,"The saleswoman, who was worried, returned later.",unambiguous,saleswoman,4,14
948,The translator said he was prepared.,unambiguous,translator,4,14
949,The queen called yesterday.,unambiguous,queen,4,9
950,The director worked late.,ambiguous,director,4,12
951,"Because the accountant was confident, the accountant stood near the window.",ambiguous,accountant,12,22
952,The pharmacist explained the issue.,ambiguous,pharmacist,4,14
953,"After reading the email, the supervisor waited outside.",ambiguous,supervisor,29,39
954,The librarian started the meeting.,ambiguous,librarian,4,13
955,The counselor will join the meeting.,ambiguous,counselor,4,13
956,The instructor smiled politely.,ambiguous,instructor,4,14
957,"Because the receptionist was prepared, the receptionist sat down.",ambiguous,receptionist,12,24
958,The duchess smiled politely.,unambiguous,duchess,4,11
959,"After checking the schedule, the researcher started the meeting.",ambiguous,researcher,33,43
960,"The engineer, who said he was tired, sat down.",unambiguous,engineer,4,12
961,The actress spoke clearly.,unambiguous,actress,4,11
962,"The principal, who said she was confident, joined the call.",unambiguous,principal,4,13
963,"In the afternoon, the stewardess started the meeting.",unambiguous,stewardess,22,32
964,"After answering questions, the doctor returned later.",ambiguous,doctor,31,37
965,The librarian sent an email in the afternoon.,ambiguous,librarian,4,13
966,The lawyer will call later.,ambiguous,lawyer,4,10
967,"The congressman, who was available, gave a short update.",unambiguous,congressman,4,15
968,"After reading the email, the artist answered quickly.",ambiguous,artist,29,35
969,The young teacher made a decision.,ambiguous,teacher,10,17
970,My director said she was ready.,unambiguous,director,3,11
971,"After joining the call, the manager smiled politely.",ambiguous,manager,28,35
972,"The driver, who was calm, called yesterday.",ambiguous,driver,4,10
973,The receptionist said he was confident.,unambiguous,receptionist,4,16
974,"The waitress, who was ready, spoke clearly.",unambiguous,waitress,4,12
975,The waiter stood near the window.,unambiguous,waiter,4,10
976,The scientist made a decision last week.,ambiguous,scientist,4,13
977,"This morning, the scientist worked late.",ambiguous,scientist,18,27
978,"Because the musician was available, the musician waited outside.",ambiguous,musician,12,20
979,"This morning, the designer opened the door.",ambiguous,designer,18,26
980,The pharmacist sat down.,ambiguous,pharmacist,4,14
981,"The assistant, who was prepared, worked late.",ambiguous,assistant,4,13
982,The busy actor arrived.,unambiguous,actor,9,14
983,"Before the meeting, the director explained the issue.",ambiguous,director,24,32
984,The private actor prepared carefully.,unambiguous,actor,12,17
985,Their nurse stood near the window.,ambiguous,nurse,6,11
986,"The writer spoke clearly, and she seemed confident.",unambiguous,writer,4,10
987,"The nurse, who was calm, made a decision.",ambiguous,nurse,4,9
988,"After joining the call, the heroine called yesterday.",unambiguous,heroine,28,35
989,The supervisor finished the report.,ambiguous,supervisor,4,14
990,The musician prepared carefully.,ambiguous,musician,4,12
991,The busy librarian said she would return later.,unambiguous,librarian,9,18
992,"Because the pharmacist was focused, the pharmacist sent an email.",ambiguous,pharmacist,12,22
993,The engineer left early this morning.,ambiguous,engineer,4,12
994,The professor smiled politely before the meeting.,ambiguous,professor,4,13
995,The editor checked the schedule before the meeting.,ambiguous,editor,4,10
996,The new consultant worked late.,ambiguous,consultant,8,18
997,"Last week, the editor walked in quietly.",ambiguous,editor,15,21
998,The local photographer said he would return later.,unambiguous,photographer,10,22
999,"The analyst started the meeting, and she seemed busy.",unambiguous,analyst,4,11
1000,The junior editor prepared carefully.,ambiguous,editor,11,17
1001,"Because the researcher was ready, the researcher waited outside.",ambiguous,researcher,12,22
1002,The designer said he was worried.,unambiguous,designer,4,12
1003,The architect worked late.,ambiguous,architect,4,13
1004,"The counselor, who was late, gave a short update.",ambiguous,counselor,4,13
1005,"After joining the call, the consultant said she was busy.",unambiguous,consultant,28,38
1006,The junior queen started the meeting.,unambiguous,queen,11,16
1007,"Because the editor was focused, the editor joined the call.",ambiguous,editor,12,18
1008,The nurse forgot his notes.,unambiguous,nurse,4,9
1009,"Because the director was available, the director stood near the window.",ambiguous,director,12,20
1010,"The mechanic, who was confident, joined the call.",ambiguous,mechanic,4,12
1011,"The scientist, who was available, explained the issue.",ambiguous,scientist,4,13
1012,The librarian said she will finish the report.,unambiguous,librarian,4,13
1013,The surgeon forgot her notebook.,unambiguous,surgeon,4,11
1014,"After finishing work, the manager said he was calm.",unambiguous,manager,26,33
1015,"The librarian, who said he was ready, sent an email.",unambiguous,librarian,4,13
1016,"After reading the email, the therapist joined the call.",ambiguous,therapist,29,38
1017,"Yesterday, the director paused for a moment.",ambiguous,director,15,23
1018,The librarian said he will finish the report.,unambiguous,librarian,4,13
1019,"After reading the email, the journalist said she was tired.",unambiguous,journalist,29,39
1020,"The nurse, who was prepared, made a decision.",ambiguous,nurse,4,9
1021,"After reading the email, the journalist finished the report.",ambiguous,journalist,29,39
1022,The veterinarian said he will finish the report.,unambiguous,veterinarian,4,16
1023,"Because the lawyer was late, the lawyer paused for a moment.",ambiguous,lawyer,12,18
1024,Our librarian explained the issue.,ambiguous,librarian,4,13
1025,The quiet manager said he would return later.,unambiguous,manager,10,17
1026,Your chef finished the report.,ambiguous,chef,5,9
1027,"Because the mechanic was ready, the mechanic opened the door.",ambiguous,mechanic,12,20
1028,The queen finished the report.,unambiguous,queen,4,9
1029,The principal will arrive soon.,ambiguous,principal,4,13
1030,Your artist worked late.,ambiguous,artist,5,11
1031,"After preparing the report, the veterinarian said he was confident.",unambiguous,veterinarian,32,44
1032,The developer forgot his schedule.,unambiguous,developer,4,13
1033,"The empress, who was focused, made a decision.",unambiguous,empress,4,11
1034,"In the afternoon, the editor returned later.",ambiguous,editor,22,28
1035,"The princess, who was calm, sent an email.",unambiguous,princess,4,12
1036,The new salesman called yesterday.,unambiguous,salesman,8,16
1037,"After checking the schedule, the engineer waited outside.",ambiguous,engineer,33,41
1038,"The counselor finished the report, and she seemed tired.",unambiguous,counselor,4,13
1039,The senior duchess paused for a moment.,unambiguous,duchess,11,18
1040,"The director, who said he was prepared, called yesterday.",unambiguous,director,4,12
1041,The assistant entered the room.,ambiguous,assistant,4,13
1042,"On Monday, the steward waited outside.",unambiguous,steward,15,22
1043,Your musician waited outside.,ambiguous,musician,5,13
1044,"After checking the schedule, the teacher finished the report.",ambiguous,teacher,33,40
1045,"Before the meeting, the translator stood near the window.",ambiguous,translator,24,34
1046,The veterinarian sent an email.,ambiguous,veterinarian,4,16
1047,"During the event, the instructor checked the schedule.",ambiguous,instructor,22,32
1048,My pharmacist sent an email.,ambiguous,pharmacist,3,13
1049,"After closing the office, the driver said she was late.",unambiguous,driver,30,36
1050,"Because the engineer was prepared, the engineer left early.",ambiguous,engineer,12,20
1051,"After checking the schedule, the teacher smiled politely.",ambiguous,teacher,33,40
1052,The young developer said he would return later.,unambiguous,developer,10,19
1053,"Before the meeting, the lawyer returned later.",ambiguous,lawyer,24,30
1054,"Before the meeting, the actor started the meeting.",unambiguous,actor,24,29
1055,"The writer, who was tired, spoke clearly.",ambiguous,writer,4,10
1056,My professor said she was late.,unambiguous,professor,3,12
1057,"The actress, who was worried, asked a question.",unambiguous,actress,4,11
1058,A pharmacist finished the report.,ambiguous,pharmacist,2,12
1059,"On Monday, the spokesman gave a lecture.",unambiguous,spokesman,15,24
1060,"After answering questions, the consultant said he was calm.",unambiguous,consultant,31,41
1061,"The consultant waited outside, and he seemed tired.",unambiguous,consultant,4,14
1062,The director gave a lecture.,ambiguous,director,4,12
1063,"Last week, the waiter sent an email.",unambiguous,waiter,15,21
1064,"The prince, who was tired, smiled politely.",unambiguous,prince,4,10
1065,"After preparing the report, the professor smiled politely.",ambiguous,professor,32,41
1066,The writer explained the issue at noon.,ambiguous,writer,4,10
1067,The visiting congresswoman returned later.,unambiguous,congresswoman,13,26
1068,The new pilot joined the call.,ambiguous,pilot,8,13
1069,"The prince, who was busy, checked the schedule.",unambiguous,prince,4,10
1070,"After reading the email, the landlord explained the issue.",unambiguous,landlord,29,37
1071,The senior researcher said he would return later.,unambiguous,researcher,11,21
1072,Our coach finished the report.,ambiguous,coach,4,9
1073,The surgeon gave a short update.,ambiguous,surgeon,4,11
1074,"Because the developer was late, the developer paused for a moment.",ambiguous,developer,12,21
1075,The driver introduced herself politely.,unambiguous,driver,4,10
1076,"Before the meeting, the actress gave a short update.",unambiguous,actress,24,31
1077,The lawyer forgot his keys.,unambiguous,lawyer,4,10
1078,"Because the artist was worried, the artist entered the room.",ambiguous,artist,12,18
1079,The driver arrived.,ambiguous,driver,4,10
1080,"After preparing the report, the therapist left early.",ambiguous,therapist,32,41
1081,My librarian opened the door.,ambiguous,librarian,3,12
1082,The photographer forgot his laptop.,unambiguous,photographer,4,16
1083,"On Monday, the consultant sent an email.",ambiguous,consultant,15,25
1084,"The receptionist sat down, and he seemed available.",unambiguous,receptionist,4,16
1085,"The photographer, who said he was available, gave a lecture.",unambiguous,photographer,4,16
1086,The librarian forgot her notes.,unambiguous,librarian,4,13
1087,"On Monday, the landlord opened the door.",unambiguous,landlord,15,23
1088,The engineer forgot his wallet.,unambiguous,engineer,4,12
1089,"In the afternoon, the hero opened the door.",unambiguous,hero,22,26
1090,The friendly assistant answered quickly.,ambiguous,assistant,13,22
1091,The scientist said he was busy.,unambiguous,scientist,4,13
1092,Your nurse said he was available.,unambiguous,nurse,5,10
1093,The photographer said she will call later.,unambiguous,photographer,4,16
1094,The pilot checked the schedule at noon.,ambiguous,pilot,4,9
1095,"Yesterday, the supervisor walked in quietly.",ambiguous,supervisor,15,25
1096,A assistant paused for a moment.,ambiguous,assistant,2,11
1097,"After answering questions, the professor joined the call.",ambiguous,professor,31,40
1098,"The director, who said he was tired, joined the call.",unambiguous,director,4,12
1099,"After finishing work, the actress left early.",unambiguous,actress,26,33
1100,"After joining the call, the spokeswoman prepared carefully.",unambiguous,spokeswoman,28,39
1101,"The driver finished the report, and he seemed available.",unambiguous,driver,4,10
1102,Our librarian walked in quietly.,ambiguous,librarian,4,13
1103,My designer called yesterday.,ambiguous,designer,3,11
1104,My surgeon joined the call.,ambiguous,surgeon,3,10
1105,"Before the meeting, the chairwoman smiled politely.",unambiguous,chairwoman,24,34
1106,"The congressman, who was late, paused for a moment.",unambiguous,congressman,4,15
1107,"Yesterday, the supervisor sent an email.",ambiguous,supervisor,15,25
1108,A analyst gave a short update.,ambiguous,analyst,2,9
1109,"The mechanic, who was worried, finished the report.",ambiguous,mechanic,4,12
1110,The pharmacist waited outside.,ambiguous,pharmacist,4,14
1111,The architect introduced herself politely.,unambiguous,architect,4,13
1112,"The musician, who was worried, gave a short update.",ambiguous,musician,4,12
1113,"The director, who was prepared, asked a question.",ambiguous,director,4,12
1114,"Before the meeting, the lawyer checked her schedule.",unambiguous,lawyer,24,30
1115,"The translator waited outside, and he seemed worried.",unambiguous,translator,4,14
1116,"Before the meeting, the doctor checked his schedule.",unambiguous,doctor,24,30
1117,My artist left early.,ambiguous,artist,3,9
1118,"The director, who said he was busy, explained the issue.",unambiguous,director,4,12
1119,"After answering questions, the doctor entered the room.",ambiguous,doctor,31,37
1120,The writer said she was calm.,unambiguous,writer,4,10
1121,"After reading the email, the instructor said he was late.",unambiguous,instructor,29,39
1122,"Before the meeting, the pharmacist checked her wallet.",unambiguous,pharmacist,24,34
1123,"At noon, the mechanic paused for a moment.",ambiguous,mechanic,13,21
1124,"After reviewing the notes, the chairman checked the schedule.",unambiguous,chairman,31,39
1125,The friendly director said he would return later.,unambiguous,director,13,21
1126,The musician entered the room before the meeting.,ambiguous,musician,4,12
1127,The professor gave a short update.,ambiguous,professor,4,13
1128,The director will join the meeting.,ambiguous,director,4,12
1129,The scientist said she was focused.,unambiguous,scientist,4,13
1130,"After finishing work, the engineer said he was calm.",unambiguous,engineer,26,34
1131,The director started the meeting.,ambiguous,director,4,12
1132,"The supervisor, who said he was worried, walked in quietly.",unambiguous,supervisor,4,14
1133,The visiting editor said she would return later.,unambiguous,editor,13,19
1134,"Because the librarian was focused, the librarian explained the issue.",ambiguous,librarian,12,21
1135,"After checking the schedule, the steward sat down.",unambiguous,steward,33,40
1136,The pilot forgot her bag.,unambiguous,pilot,4,9
1137,Your dentist paused for a moment.,ambiguous,dentist,5,12
1138,My writer finished the report.,ambiguous,writer,3,9
1139,A manager explained the issue.,ambiguous,manager,2,9
1140,The local artist said he would return later.,unambiguous,artist,10,16
1141,"The supervisor gave a lecture, and she seemed prepared.",unambiguous,supervisor,4,14
1142,The doctor gave a lecture.,ambiguous,doctor,4,10
1143,The junior driver smiled politely.,ambiguous,driver,11,17
1144,The chef finished the report on Monday.,ambiguous,chef,4,8
1145,The teacher will arrive soon.,ambiguous,teacher,4,11
1146,The private hero stood near the window.,unambiguous,hero,12,16
1147,"During the event, the designer asked a question.",ambiguous,designer,22,30
1148,"The consultant gave a lecture, and she seemed available.",unambiguous,consultant,4,14
1149,"The journalist started the meeting, and she seemed late.",unambiguous,journalist,4,14
1150,"Because the mechanic was tired, the mechanic walked in quietly.",ambiguous,mechanic,12,20
1151,The tired surgeon said she would return later.,unambiguous,surgeon,10,17
1152,Your designer arrived.,ambiguous,designer,5,13
1153,"After finishing work, the mechanic called yesterday.",ambiguous,mechanic,26,34
1154,"The engineer, who was busy, prepared carefully.",ambiguous,engineer,4,12
1155,Your driver finished the report.,ambiguous,driver,5,11
1156,My dentist gave a lecture.,ambiguous,dentist,3,10
1157,The musician answered quickly.,ambiguous,musician,4,12
1158,"After lunch, the coach made a decision.",ambiguous,coach,17,22
1159,The engineer forgot his coat.,unambiguous,engineer,4,12
1160,"After lunch, the teacher waited outside.",ambiguous,teacher,17,24
1161,"Because the therapist was worried, the therapist sat down.",ambiguous,therapist,12,21
1162,The senior artist called yesterday.,ambiguous,artist,11,17
1163,The analyst introduced herself politely.,unambiguous,analyst,4,11
1164,"The writer, who was available, started the meeting.",ambiguous,writer,4,10
1165,"Before the meeting, the analyst checked his bag.",unambiguous,analyst,24,31
1166,The doctor said she will call later.,unambiguous,doctor,4,10
1167,"After closing the office, the analyst said she was available.",unambiguous,analyst,30,37
1168,Their photographer opened the door.,ambiguous,photographer,6,18
1169,The actress walked in quietly.,unambiguous,actress,4,11
1170,"The veterinarian, who was calm, gave a short update.",ambiguous,veterinarian,4,16
1171,The editor will arrive soon.,ambiguous,editor,4,10
1172,"After preparing the report, the duke smiled politely.",unambiguous,duke,32,36
1173,"After joining the call, the driver waited outside.",ambiguous,driver,28,34
1174,The teacher forgot his phone.,unambiguous,teacher,4,11
1175,The receptionist gave a short update.,ambiguous,receptionist,4,16
1176,"After reading the email, the host worked late.",unambiguous,host,29,33
1177,"This morning, the pilot walked in quietly.",ambiguous,pilot,18,23
1178,A scientist opened the door.,ambiguous,scientist,2,11
1179,The consultant arrived during the event.,ambiguous,consultant,4,14
1180,"The designer, who said he was prepared, answered quickly.",unambiguous,designer,4,12
1181,The visiting mechanic smiled politely.,ambiguous,mechanic,13,21
1182,The coach answered quickly during the event.,ambiguous,coach,4,9
1183,The chef waited outside.,ambiguous,chef,4,8
1184,"The director paused for a moment, and she seemed available.",unambiguous,director,4,12
1185,"Before the meeting, the assistant checked her badge.",unambiguous,assistant,24,33
1186,The supervisor introduced himself politely.,unambiguous,supervisor,4,14
1187,The mechanic sent an email near the end of the day.,ambiguous,mechanic,4,12
1188,"After reviewing the notes, the manager prepared carefully.",ambiguous,manager,31,38
1189,"Because the doctor was tired, the doctor sat down.",ambiguous,doctor,12,18
1190,The dentist started the meeting.,ambiguous,dentist,4,11
1191,The chef introduced herself politely.,unambiguous,chef,4,8
1192,The writer said he will arrive soon.,unambiguous,writer,4,10
1193,The professor left early.,ambiguous,professor,4,13
1194,"The host, who was available, opened the door.",unambiguous,host,4,8
1195,The coach stood near the window at noon.,ambiguous,coach,4,9
1196,"After finishing work, the analyst made a decision.",ambiguous,analyst,26,33
1197,A director worked late.,ambiguous,director,2,10
1198,"After preparing the report, the supervisor gave a lecture.",ambiguous,supervisor,32,42
1199,"The nurse entered the room, and she seemed focused.",unambiguous,nurse,4,9
1200,"After answering questions, the waitress finished the report.",unambiguous,waitress,31,39
1201,The driver said she was calm.,unambiguous,driver,4,10
1202,The private policewoman gave a lecture.,unambiguous,policewoman,12,23
1203,A professor explained the issue.,ambiguous,professor,2,11
1204,"The director made a decision, and she seemed busy.",unambiguous,director,4,12
1205,"Because the instructor was ready, the instructor arrived.",ambiguous,instructor,12,22
1206,"The teacher, who was available, gave a lecture.",ambiguous,teacher,4,11
1207,"The accountant, who was confident, called yesterday.",ambiguous,accountant,4,14
1208,"After finishing work, the artist made a decision.",ambiguous,artist,26,32
1209,"The musician, who said he was calm, made a decision.",unambiguous,musician,4,12
1210,"The manager, who was confident, gave a lecture.",ambiguous,manager,4,11
1211,The coach forgot his badge.,unambiguous,coach,4,9
1212,"After answering questions, the dentist said he was tired.",unambiguous,dentist,31,38
1213,"Because the photographer was available, the photographer gave a short update.",ambiguous,photographer,12,24
1214,The local counselor said he would return later.,unambiguous,counselor,10,19
1215,"After closing the office, the lawyer sat down.",ambiguous,lawyer,30,36
1216,"Because the instructor was worried, the instructor stood near the window.",ambiguous,instructor,12,22
1217,"Because the researcher was prepared, the researcher smiled politely.",ambiguous,researcher,12,22
1218,The pharmacist stood near the window.,ambiguous,pharmacist,4,14
1219,The counselor said he will call later.,unambiguous,counselor,4,13
1220,The teacher arrived.,ambiguous,teacher,4,11
1221,The manager returned later.,ambiguous,manager,4,11
1222,The director asked a question.,ambiguous,director,4,12
1223,My veterinarian said he was ready.,unambiguous,veterinarian,3,15
1224,The surgeon forgot his coat.,unambiguous,surgeon,4,11
1225,The veterinarian walked in quietly.,ambiguous,veterinarian,4,16
1226,"The consultant spoke clearly, and he seemed ready.",unambiguous,consultant,4,14
1227,"The writer, who said he was worried, left early.",unambiguous,writer,4,10
1228,The journalist forgot his bag.,unambiguous,journalist,4,14
1229,The dentist worked late last week.,ambiguous,dentist,4,11
1230,"The prince, who was busy, sent an email.",unambiguous,prince,4,10
1231,The principal said he will join the meeting.,unambiguous,principal,4,13
1232,The driver said he was calm.,unambiguous,driver,4,10
1233,Our veterinarian said he was confident.,unambiguous,veterinarian,4,16
1234,"After preparing the report, the consultant walked in quietly.",ambiguous,consultant,32,42
1235,The journalist said he was focused.,unambiguous,journalist,4,14
1236,Their consultant said he was confident.,unambiguous,consultant,6,16
1237,The busy doctor paused for a moment.,ambiguous,doctor,9,15
1238,"The manager, who said he was worried, opened the door.",unambiguous,manager,4,11
1239,"The principal, who was worried, asked a question.",ambiguous,principal,4,13
1240,The architect forgot her bag.,unambiguous,architect,4,13
1241,"The chef waited outside, and she seemed confident.",unambiguous,chef,4,8
1242,"The engineer, who said she was ready, started the meeting.",unambiguous,engineer,4,12
1243,"After finishing work, the princess worked late.",unambiguous,princess,26,34
1244,"The receptionist, who was tired, joined the call.",ambiguous,receptionist,4,16
1245,The chef will arrive soon.,ambiguous,chef,4,8
1246,The king joined the call.,unambiguous,king,4,8
1247,The senior librarian said he would return later.,unambiguous,librarian,11,20
1248,The designer said she was busy.,unambiguous,designer,4,12
1249,The architect will arrive soon.,ambiguous,architect,4,13
1250,The coach said she will finish the report.,unambiguous,coach,4,9
1251,"After reading the email, the writer said he was worried.",unambiguous,writer,29,35
1252,"Because the editor was late, the editor paused for a moment.",ambiguous,editor,12,18
1253,"After joining the call, the architect waited outside.",ambiguous,architect,28,37
1254,The pilot introduced himself politely.,unambiguous,pilot,4,9
1255,"The queen, who was prepared, sat down.",unambiguous,queen,4,9
1256,"After checking the schedule, the doctor said he was tired.",unambiguous,doctor,33,39
1257,The veterinarian gave a lecture this morning.,ambiguous,veterinarian,4,16
1258,"After joining the call, the scientist opened the door.",ambiguous,scientist,28,37
1259,"After joining the call, the instructor checked the schedule.",ambiguous,instructor,28,38
1260,"Because the pharmacist was busy, the pharmacist walked in quietly.",ambiguous,pharmacist,12,22
1261,Our nurse spoke clearly.,ambiguous,nurse,4,9
1262,The careful chairwoman called yesterday.,unambiguous,chairwoman,12,22
1263,"The scientist, who was focused, started the meeting.",ambiguous,scientist,4,13
1264,The junior waitress worked late.,unambiguous,waitress,11,19
1265,"The engineer asked a question, and he seemed available.",unambiguous,engineer,4,12
1266,Their researcher started the meeting.,ambiguous,researcher,6,16
1267,The spokeswoman opened the door.,unambiguous,spokeswoman,4,15
1268,The hero sent an email.,unambiguous,hero,4,8
1269,The local hero made a decision.,unambiguous,hero,10,14
1270,"Yesterday, the supervisor gave a lecture.",ambiguous,supervisor,15,25
1271,The mechanic forgot her keys.,unambiguous,mechanic,4,12
1272,The researcher checked the schedule.,ambiguous,researcher,4,14
1273,"After reviewing the notes, the counselor smiled politely.",ambiguous,counselor,31,40
1274,"Near the end of the day, the coach checked the schedule.",ambiguous,coach,29,34
1275,The accountant said she will speak tomorrow.,unambiguous,accountant,4,14
1276,"This morning, the spokeswoman asked a question.",unambiguous,spokeswoman,18,29
1277,"Yesterday, the manager called yesterday.",ambiguous,manager,15,22
1278,Your pilot paused for a moment.,ambiguous,pilot,5,10
1279,The actor started the meeting.,unambiguous,actor,4,9
1280,"Before the meeting, the researcher checked his phone.",unambiguous,researcher,24,34
1281,"The accountant, who was ready, called yesterday.",ambiguous,accountant,4,14
1282,"In the afternoon, the prince checked the schedule.",unambiguous,prince,22,28
1283,The editor arrived at noon.,ambiguous,editor,4,10
1284,"On Monday, the designer asked a question.",ambiguous,designer,15,23
1285,The experienced assistant smiled politely.,ambiguous,assistant,16,25
1286,The surgeon spoke clearly during the event.,ambiguous,surgeon,4,11
1287,The surgeon started the meeting before the meeting.,ambiguous,surgeon,4,11
1288,The accountant explained the issue in the afternoon.,ambiguous,accountant,4,14
1289,"The salesman, who was available, paused for a moment.",unambiguous,salesman,4,12
1290,"The photographer sent an email, and he seemed prepared.",unambiguous,photographer,4,16
1291,"After answering questions, the professor said he was tired.",unambiguous,professor,31,40
1292,The accountant will speak tomorrow.,ambiguous,accountant,4,14
1293,The receptionist will speak tomorrow.,ambiguous,receptionist,4,16
1294,"Before the meeting, the instructor checked his badge.",unambiguous,instructor,24,34
1295,The editor said she will arrive soon.,unambiguous,editor,4,10
1296,The manager smiled politely.,ambiguous,manager,4,11
1297,The manager prepared carefully.,ambiguous,manager,4,11
1298,The pharmacist left early this morning.,ambiguous,pharmacist,4,14
1299,My doctor returned later.,ambiguous,doctor,3,9
1300,My professor entered the room.,ambiguous,professor,3,12
1301,The landlord worked late.,unambiguous,landlord,4,12
1302,The busy duchess checked the schedule.,unambiguous,duchess,9,16
1303,Your writer said she was prepared.,unambiguous,writer,5,11
1304,The translator said she will speak tomorrow.,unambiguous,translator,4,14
1305,"The chef, who said he was calm, explained the issue.",unambiguous,chef,4,8
1306,Their dentist said he was calm.,unambiguous,dentist,6,13
1307,"After lunch, the librarian stood near the window.",ambiguous,librarian,17,26
1308,The experienced manager said she would return later.,unambiguous,manager,16,23
1309,"The chef, who was focused, gave a short update.",ambiguous,chef,4,8
1310,The chef left early near the end of the day.,ambiguous,chef,4,8
1311,"The editor, who was focused, walked in quietly.",ambiguous,editor,4,10
1312,A architect stood near the window.,ambiguous,architect,2,11
1313,"After answering questions, the receptionist made a decision.",ambiguous,receptionist,31,43
1314,"After checking the schedule, the receptionist said he was available.",unambiguous,receptionist,33,45
1315,"The duchess, who was late, paused for a moment.",unambiguous,duchess,4,11
1316,Their architect started the meeting.,ambiguous,architect,6,15
1317,The private steward waited outside.,unambiguous,steward,12,19
1318,"The landlady, who was calm, sent an email.",unambiguous,landlady,4,12
1319,The junior hero explained the issue.,unambiguous,hero,11,15
1320,"The teacher finished the report, and she seemed confident.",unambiguous,teacher,4,11
1321,"The driver, who was ready, returned later.",ambiguous,driver,4,10
1322,"After closing the office, the chairwoman returned later.",unambiguous,chairwoman,30,40
1323,"The researcher, who said she was prepared, walked in quietly.",unambiguous,researcher,4,14
1324,"After reading the email, the driver said she was worried.",unambiguous,driver,29,35
1325,"The mechanic sat down, and she seemed prepared.",unambiguous,mechanic,4,12
1326,"After reading the email, the king answered quickly.",unambiguous,king,29,33
1327,"Because the photographer was calm, the photographer sat down.",ambiguous,photographer,12,24
1328,"The consultant, who was tired, joined the call.",ambiguous,consultant,4,14
1329,The pharmacist said she will finish the report.,unambiguous,pharmacist,4,14
1330,The veterinarian will call later.,ambiguous,veterinarian,4,16
1331,The researcher left early.,ambiguous,researcher,4,14
1332,"After reading the email, the nurse asked a question.",ambiguous,nurse,29,34
1333,"After finishing work, the editor opened the door.",ambiguous,editor,26,32
1334,"After reviewing the notes, the congressman opened the door.",unambiguous,congressman,31,42
1335,"Because the driver was focused, the driver called yesterday.",ambiguous,driver,12,18
1336,"Because the teacher was focused, the teacher walked in quietly.",ambiguous,teacher,12,19
1337,The congresswoman smiled politely.,unambiguous,congresswoman,4,17
1338,"The princess, who was worried, finished the report.",unambiguous,princess,4,12
1339,The senior fireman spoke clearly.,unambiguous,fireman,11,18
1340,"After finishing work, the saleswoman paused for a moment.",unambiguous,saleswoman,26,36
1341,Their researcher stood near the window.,ambiguous,researcher,6,16
1342,The assistant introduced herself politely.,unambiguous,assistant,4,13
1343,"Because the photographer was confident, the photographer explained the issue.",ambiguous,photographer,12,24
1344,"The librarian finished the report, and she seemed ready.",unambiguous,librarian,4,13
1345,"The veterinarian, who said he was worried, stood near the window.",unambiguous,veterinarian,4,16
1346,"Yesterday, the professor gave a lecture.",ambiguous,professor,15,24
1347,"Because the driver was worried, the driver gave a short update.",ambiguous,driver,12,18
1348,"The assistant, who said he was busy, joined the call.",unambiguous,assistant,4,13
1349,"Because the accountant was confident, the accountant returned later.",ambiguous,accountant,12,22
1350,The translator said she will join the meeting.,unambiguous,translator,4,14
1351,"Before the meeting, the engineer checked his notes.",unambiguous,engineer,24,32
